0		0	0	1.2	1.5	2	2.5	3	4	5	6	7	8	9	10	11	12	13	14	16	18	20	25	30	35	40	45	50	10000000
0		1	0	8	10	18	29	46	91	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
0		2	0	8	12	21	33	50	96	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
0		3	0	11	18	32	48	68	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
10		1	0	8	10	18	29	46	91	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
10		2	0	8	12	21	33	50	96	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
10		3	0	11	18	32	48	68	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
15		1	0	7	9	14	22	33	63	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
15		2	0	8	10	17	25	37	67	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
15		3	0	10	15	26	39	53	87	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
20		1	0	7	9	12	18	26	49	81	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
20		2	0	8	10	15	21	30	53	85	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
20		3	0	9	14	23	33	45	72	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
25		1	0	7	8	11	16	23	41	66	98	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
25		2	0	8	9	13	19	26	45	70	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
25		3	0	9	13	21	30	39	62	90	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
30		1	0	7	8	11	15	20	35	56	83	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
